province_id,prov_id,province,eng,abbre_thai,total_registered_vote,total_vote_stations
37,ACR,อำนาจเจริญ,AMNAT CHAROEN,อจ,301354,641
15,ATG,อ่างทอง,ANG THONG,อท,224656,492
14,AYA,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA,อย,664431,1060
10,BKK,กรุงเทพมหานคร,BANGKOK,กทม,4479155,6360
38,BKN,บึงกาฬ,BUENG KAN,บก,327745,652
31,BRM,บุรีรัมย์,BURI RAM,บร,1250148,2568
20,CBI,ชลบุรี,CHON BURI,ชบ,1234192,1439
24,CCO,ฉะเชิงเทรา,CHACHOENGSAO,ฉช,576962,973
50,CMI,เชียงใหม่,CHIANG MAI,ชม,1331007,2615
18,CNT,ชัยนาท,CHAI NAT,ชน,262359,505
36,CPM,ชัยภูมิ,CHAIYAPHUM,ชย,902888,1948
86,CPN,ชุมพร,CHUMPHON,ชพ,404208,745
57,CRI,เชียงราย,CHIANG RAI,ชร,944019,1977
22,CTI,จันทบุรี,CHANTHABURI,จบ,427917,834
81,KBI,กระบี่,KRABI,กบ,357245,587
40,KKN,ขอนแก่น,KHON KAEN,ขก,1449595,2679
62,KPT,กำแพงเพชร,KAMPHAENG PHET,กพ,567999,1123
71,KRI,กาญจนบุรี,KANCHANABURI,กจ,646081,1045
46,KSN,กาฬสินธุ์,KALASIN,กส,788214,1617
42,LEI,เลย,LOEI,ลย,504875,1016
52,LPG,ลำปาง,LAMPANG,ลป,612603,1187
51,LPN,ลำพูน,LAMPHUN,ลพ,333846,687
16,LRI,ลพบุรี,LOP BURI,ลบ,598151,1033
49,MDH,มุกดาหาร,MUKDAHAN,มห,276802,596
44,MKM,มหาสารคาม,MAHA SARAKHAM,มค,774191,1783
58,MSN,แม่ฮ่องสอน,MAE HONG SON,มส,180959,463
55,NAN,น่าน,NAN,นน,389371,929
12,NBI,นนทบุรี,NONTHABURI,นบ,1056364,1308
39,NBP,หนองบัวลำภู,NONG BUA LAM PHU,นภ,405513,797
43,NKI,หนองคาย,NONG KHAI,นค,410200,799
30,NMA,นครราชสีมา,NAKHON RATCHASIMA,นม,2120399,4487
48,NPM,นครพนม,NAKHON PHANOM,นพ,568353,1137
73,NPT,นครปฐม,NAKHON PATHOM,นฐ,739787,1247
60,NSN,นครสวรรค์,NAKHON SAWAN,นว,839746,1630
80,NST,นครศรีธรรมราช,NAKHON SI THAMMARAT,นศ,1220778,2151
96,NWT,นราธิวาส,NARATHIWAT,นธ,576512,1000
26,NYK,นครนายก,NAKHON NAYOK,นย,209962,460
76,PBI,เพชรบุรี,PHETCHABURI,พบ,389060,703
66,PCT,พิจิตร,PHICHIT,พจ,428861,1008
77,PKN,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,ปข,430869,632
83,PKT,ภูเก็ต,PHUKET,ภก,313475,380
93,PLG,พัทลุง,PHATTHALUNG,พท,417458,773
65,PLK,พิษณุโลก,PHITSANULOK,พล,686536,1277
82,PNA,พังงา,PHANGNGA,พง,206837,356
67,PNB,เพชรบูรณ์,PHETCHABUN,พช,784388,1647
54,PRE,แพร่,PHRAE,พร,366015,774
25,PRI,ปราจีนบุรี,PRACHIN BURI,ปจ,394789,765
13,PTE,ปทุมธานี,PATHUM THANI,ปท,960641,1422
94,PTN,ปัตตานี,PATTANI,ปน,510073,826
56,PYO,พะเยา,PHAYAO,พย,386807,862
70,RBR,ราชบุรี,RATCHABURI,รบ,682463,1111
45,RET,ร้อยเอ็ด,ROI ET,รอ,1054706,2525
85,RNG,ระนอง,RANONG,รน,140024,209
21,RYG,ระยอง,RAYONG,รย,587660,803
17,SBR,สิงห์บุรี,SING BURI,สห,168055,213
90,SKA,สงขลา,SONGKHLA,สข,1098389,1748
75,SKM,สมุทรสงคราม,SAMUT SONGKHRAM,สส,156558,257
74,SKN,สมุทรสาคร,SAMUT SAKHON,สค,446390,615
27,SKW,สระแก้ว,SA KAEO,สก,437612,800
84,SNI,สุราษฎร์ธานี,SURAT THANI,สฎ,830330,1434
47,SNK,สกลนคร,SAKON NAKHON,สน,909763,1679
72,SPB,สุพรรณบุรี,SUPHAN BURI,สพ,675285,1236
11,SPK,สมุทรปราการ,SAMUT PRAKAN,สป,1086284,1438
19,SRI,สระบุรี,SARABURI,สบ,509018,759
32,SRN,สุรินทร์,SURIN,สร,1090337,2189
33,SSK,ศรีสะเกษ,SI SA KET,ศก,1162288,2750
64,STI,สุโขทัย,SUKHOTHAI,สท,479558,980
91,STN,สตูล,SATUN,สต,240492,367
63,TAK,ตาก,TAK,ตก,404274,683
92,TRG,ตรัง,TRANG,ตง,502356,903
23,TRT,ตราด,TRAT,ตร,175112,314
34,UBN,อุบลราชธานี,UBON RATCHATHANI,อบ,1473971,3027
41,UDN,อุดรธานี,UDON THANI,อด,1248824,2252
61,UTI,อุทัยธานี,UTHAI THANI,อน,260983,617
53,UTT,อุตรดิตถ์,UTTARADIT,อต,368323,732
95,YLA,ยะลา,YALA,ยล,382271,596
35,YST,ยโสธร,YASOTHON,ยส,432872,905